Country,Year,Food_Category,Total_Waste_Tons,Economic_Loss_Million_USD,Avg_Waste_per_Capita_Kg,Population_Million,Household_Waste_Pct,Continent,Industrial_Waste_Pct
Saudi Arabia,2020,Meat & Seafood,6000.35,"$6,335.63",119.75,937.0,47.09,Asia,52.91
China,2019,Grains & Cereals,11699.76,"$13,226.55",139.02,143.1,54.19,Asia,45.81
Saudi Arabia,2021,Prepared Food,34919.42,"$40,964.21",196.62,343.2,35.32,Asia,64.68
UK,2023,Beverages,37270.62,"$43,998.68",148.18,459.9,41.16,Europe,58.84
Spain,2018,Beverages,30435.06,"$28,495.47",131.24,876.4,39.94,Europe,60.06
Canada,2021,Beverages,29977.13,"$30,214.94",92.79,330.1,46.49,North America,53.51
Indonesia,2024,Meat & Seafood,41624.99,"$42,883.64",88.01,674.3,45.05,Asia,54.95
France,2022,Fruits & Vegetables,23626.74,"$24,156.13",198.38,745.2,66.68,Europe,33.32
Germany,2022,Beverages,48456.51,"$42,311.26",191.89,370.2,57.62,Europe,42.38
Italy,2023,Beverages,11714.16,"$10,116.00",103.42,918.9,31.39,Europe,68.61
Australia,2023,Beverages,3628.50,"$4,199.04",100.92,654.6,59.03,Oceania,40.97
Saudi Arabia,2020,Frozen Food,5522.93,"$4,526.35",179.95,425.3,32.98,Asia,67.02
UK,2019,Frozen Food,5222.79,"$5,146.97",39.16,1388.7,60.69,Europe,39.31
India,2018,Prepared Food,24858.69,"$21,034.40",156.15,1057.4,58.01,Asia,41.99
Mexico,2018,Meat & Seafood,49002.55,"$39,733.88",69.30,1280.4,66.77,North America,33.23
Brazil,2022,Fruits & Vegetables,37440.24,"$33,827.90",94.17,953.1,45.73,South America,54.27
Brazil,2023,Bakery Items,30854.25,"$28,373.57",115.04,747.6,51.99,South America,48.01
Italy,2024,Meat & Seafood,46852.80,"$55,386.73",139.02,24.5,62.87,Europe,37.13
Saudi Arabia,2022,Meat & Seafood,11318.50,"$12,341.11",64.35,1018.1,69.02,Asia,30.98
Turkey,2021,Beverages,40184.32,"$39,105.55",152.14,377.5,54.30,Asia,45.7
Japan,2023,Fruits & Vegetables,2192.54,"$2,459.51",181.40,705.9,58.22,Asia,41.78
Argentina,2023,Frozen Food,27521.46,"$25,452.38",176.44,1116.1,50.88,South America,49.12
Argentina,2021,Grains & Cereals,33487.17,"$37,702.25",86.33,1025.9,30.78,South America,69.22
USA,2024,Prepared Food,35924.32,"$30,004.90",192.56,1109.3,42.27,North America,57.73
Argentina,2019,Meat & Seafood,43465.47,"$42,742.96",129.35,889.9,45.22,South America,54.78
Spain,2024,Meat & Seafood,33791.28,"$31,479.67",65.90,219.5,30.43,Europe,69.57
Indonesia,2023,Meat & Seafood,48216.19,"$51,593.84",151.14,353.0,56.75,Asia,43.25
France,2024,Frozen Food,1314.06,"$1,332.64",128.69,1082.8,40.81,Europe,59.19
Brazil,2018,Dairy Products,21847.00,"$20,986.45",84.77,846.2,34.63,South America,65.37
Saudi Arabia,2024,Prepared Food,37050.71,"$38,365.47",196.14,116.7,67.64,Asia,32.36
France,2020,Beverages,41479.30,"$45,051.73",157.40,53.6,39.76,Europe,60.24
France,2020,Bakery Items,24927.16,"$21,789.99",48.66,597.0,63.44,Europe,36.56
Argentina,2020,Fruits & Vegetables,48169.18,"$53,898.55",60.39,1231.3,31.70,South America,68.3
Brazil,2023,Prepared Food,16972.96,"$14,320.65",99.26,165.4,34.47,South America,65.53
Spain,2023,Dairy Products,13937.28,"$15,512.11",108.30,27.9,40.63,Europe,59.37
Germany,2019,Beverages,23004.20,"$19,818.33",76.51,199.6,48.01,Europe,51.99
UK,2018,Prepared Food,10099.58,"$10,925.71",145.46,1363.9,58.70,Europe,41.3
Japan,2024,Dairy Products,47567.09,"$46,165.99",94.32,32.6,65.82,Asia,34.18
South Africa,2024,Fruits & Vegetables,16963.98,"$19,065.76",193.04,1268.4,35.61,Africa,64.39
Spain,2021,Frozen Food,30672.66,"$31,614.27",20.47,470.4,53.25,Europe,46.75
Russia,2022,Meat & Seafood,38383.37,"$42,044.15",140.83,515.0,69.26,Europe,30.74
Argentina,2022,Dairy Products,8037.70,"$8,365.37",196.29,880.5,38.36,South America,61.64
Spain,2019,Bakery Items,24425.55,"$26,942.73",54.77,967.0,58.71,Europe,41.29
USA,2021,Bakery Items,34908.96,"$40,850.93",121.91,237.2,40.30,North America,59.7
India,2022,Frozen Food,11629.26,"$11,829.80",64.13,716.4,32.13,Asia,67.87
China,2020,Meat & Seafood,6880.38,"$7,585.37",71.67,1387.3,39.90,Asia,60.1
Canada,2018,Frozen Food,1325.37,"$1,513.38",154.74,221.3,31.13,North America,68.87
Indonesia,2024,Frozen Food,3567.42,"$3,713.77",51.71,255.9,57.80,Asia,42.2
Brazil,2019,Dairy Products,8646.04,"$10,179.33",132.05,73.2,34.38,South America,65.62
UK,2021,Beverages,41619.64,"$44,143.49",72.03,108.8,47.02,Europe,52.98
UK,2020,Bakery Items,10908.22,"$11,660.55",45.21,567.8,31.92,Europe,68.08
Saudi Arabia,2022,Grains & Cereals,42281.31,"$42,664.53",35.36,994.4,49.71,Asia,50.29
Germany,2020,Fruits & Vegetables,1474.15,"$1,540.57",196.14,105.9,58.28,Europe,41.72
UK,2018,Meat & Seafood,5636.30,"$5,593.44",34.72,911.7,58.77,Europe,41.23
Turkey,2020,Meat & Seafood,23475.18,"$20,967.94",44.90,333.9,46.26,Asia,53.74
Russia,2019,Fruits & Vegetables,27030.65,"$27,392.40",169.05,920.0,51.55,Europe,48.45
India,2023,Meat & Seafood,43446.92,"$47,096.44",35.45,16.2,54.82,Asia,45.18
South Africa,2019,Grains & Cereals,34585.58,"$33,098.13",132.07,1354.6,34.25,Africa,65.75
South Africa,2020,Beverages,20690.04,"$17,002.44",92.56,1201.7,60.67,Africa,39.33
Australia,2023,Bakery Items,35899.52,"$36,123.81",127.57,503.7,64.55,Oceania,35.45
China,2024,Dairy Products,41094.36,"$42,324.94",81.20,760.1,61.26,Asia,38.74
USA,2022,Bakery Items,48642.96,"$50,037.63",57.61,1105.6,51.90,North America,48.1
USA,2020,Dairy Products,10517.37,"$11,093.88",77.33,65.1,64.77,North America,35.23
USA,2020,Dairy Products,19143.40,"$18,627.53",199.02,544.7,39.94,North America,60.06
Saudi Arabia,2023,Prepared Food,31798.50,"$27,380.38",45.11,462.4,31.35,Asia,68.65
Germany,2018,Beverages,6860.69,"$7,700.46",104.38,495.9,54.16,Europe,45.84
Brazil,2018,Beverages,49122.58,"$51,296.90",99.49,539.0,63.80,South America,36.2
Canada,2020,Bakery Items,40262.79,"$41,152.89",58.15,816.2,52.71,North America,47.29
Germany,2022,Beverages,14791.28,"$16,497.72",159.67,667.6,58.89,Europe,41.11
Turkey,2023,Frozen Food,6743.26,"$6,479.62",55.33,1118.2,44.54,Asia,55.46
USA,2019,Dairy Products,4194.06,"$3,640.51",187.66,337.5,48.65,North America,51.35
Spain,2023,Beverages,46787.67,"$50,857.00",53.42,663.4,69.02,Europe,30.98
Argentina,2024,Fruits & Vegetables,34377.50,"$29,795.03",119.44,791.0,30.60,South America,69.4
Turkey,2023,Bakery Items,23215.07,"$23,317.07",195.51,669.7,35.83,Asia,64.17
Turkey,2022,Prepared Food,43199.69,"$47,597.87",60.43,1077.1,51.84,Asia,48.16
UK,2023,Bakery Items,8030.17,"$7,356.13",76.42,454.4,50.03,Europe,49.97
Japan,2021,Bakery Items,6814.57,"$6,646.62",55.24,336.9,31.51,Asia,68.49
France,2024,Bakery Items,3959.24,"$4,269.63",107.29,987.1,33.89,Europe,66.11
Saudi Arabia,2024,Meat & Seafood,7049.17,"$7,695.97",136.52,643.1,41.24,Asia,58.76
Italy,2019,Grains & Cereals,4927.29,"$5,656.69",114.23,405.7,67.03,Europe,32.97
Australia,2021,Grains & Cereals,38211.00,"$45,495.03",181.25,1369.3,40.30,Oceania,59.7
South Korea,2024,Dairy Products,5058.24,"$4,824.18",144.75,1382.1,63.40,Asia,36.6
Brazil,2022,Prepared Food,36132.58,"$36,878.62",116.97,999.1,37.92,South America,62.08
Canada,2020,Bakery Items,578.58,$646.46,94.43,534.1,37.47,North America,62.53
UK,2021,Fruits & Vegetables,24046.92,"$22,580.75",46.84,26.7,36.81,Europe,63.19
Japan,2024,Beverages,40854.18,"$40,444.58",68.81,47.0,49.97,Asia,50.03
Indonesia,2023,Beverages,32931.80,"$37,000.20",24.98,358.2,44.08,Asia,55.92
South Africa,2024,Grains & Cereals,23137.63,"$27,294.60",173.68,808.3,34.76,Africa,65.24
Argentina,2021,Beverages,3088.35,"$2,809.98",179.07,391.4,42.48,South America,57.52
Italy,2023,Fruits & Vegetables,31130.27,"$36,622.71",139.05,415.2,60.61,Europe,39.39
Brazil,2019,Fruits & Vegetables,31515.32,"$37,428.53",179.92,1274.5,36.63,South America,63.37
India,2018,Bakery Items,41159.80,"$38,825.97",81.60,835.2,31.24,Asia,68.76
Canada,2022,Dairy Products,40267.47,"$39,933.88",171.17,844.9,42.93,North America,57.07
Mexico,2019,Dairy Products,20750.01,"$20,032.02",32.25,960.2,47.99,North America,52.01
China,2019,Bakery Items,8381.26,"$7,150.57",132.06,1307.9,37.53,Asia,62.47
Saudi Arabia,2022,Grains & Cereals,25689.20,"$27,161.16",190.25,722.3,41.02,Asia,58.98
Brazil,2020,Prepared Food,15808.38,"$16,825.54",194.85,1098.0,33.16,South America,66.84
South Africa,2022,Meat & Seafood,3751.19,"$3,403.50",112.55,600.4,69.47,Africa,30.53
Argentina,2020,Prepared Food,15333.15,"$13,655.73",32.53,599.9,65.49,South America,34.51
Australia,2020,Fruits & Vegetables,45456.99,"$47,399.77",105.52,897.7,54.38,Oceania,45.62
USA,2022,Meat & Seafood,12712.22,"$11,265.97",31.29,1167.5,48.77,North America,51.23
Argentina,2019,Grains & Cereals,48904.89,"$57,120.77",186.51,94.5,35.42,South America,64.58
Turkey,2018,Fruits & Vegetables,38921.02,"$38,773.26",130.39,1205.1,60.75,Asia,39.25
Canada,2024,Meat & Seafood,6167.66,"$6,479.29",165.44,1190.3,62.48,North America,37.52
Japan,2020,Prepared Food,3471.38,"$3,642.06",162.64,1202.0,52.96,Asia,47.04
Saudi Arabia,2020,Grains & Cereals,36432.74,"$38,640.08",160.60,790.3,42.47,Asia,57.53
South Korea,2019,Frozen Food,19231.85,"$16,773.79",70.91,1235.5,56.95,Asia,43.05
South Korea,2018,Bakery Items,4198.48,"$4,740.46",183.39,802.2,56.39,Asia,43.61
South Korea,2019,Frozen Food,48375.92,"$54,885.58",111.57,87.3,41.21,Asia,58.79
Russia,2020,Frozen Food,23721.00,"$27,890.37",55.83,308.8,69.52,Europe,30.48
Spain,2022,Fruits & Vegetables,49893.96,"$42,739.19",123.54,447.0,62.03,Europe,37.97
France,2023,Grains & Cereals,42544.59,"$39,659.69",97.09,58.2,65.41,Europe,34.59
France,2023,Bakery Items,15275.97,"$13,016.74",39.68,640.2,60.68,Europe,39.32
Australia,2021,Meat & Seafood,3714.44,"$3,261.31",170.97,232.6,37.18,Oceania,62.82
France,2022,Dairy Products,739.50,$763.45,172.65,673.2,59.47,Europe,40.53
Turkey,2021,Meat & Seafood,32933.10,"$26,687.76",174.87,367.3,45.48,Asia,54.52
USA,2018,Grains & Cereals,25308.57,"$30,171.15",66.16,1015.6,34.48,North America,65.52
Italy,2022,Prepared Food,16593.43,"$16,794.72",40.00,18.1,58.34,Europe,41.66
South Africa,2019,Bakery Items,49576.05,"$40,382.72",104.51,173.0,44.08,Africa,55.92
India,2020,Dairy Products,4364.47,"$4,652.61",169.33,267.8,51.78,Asia,48.22
Brazil,2021,Prepared Food,24385.74,"$25,811.86",54.04,1061.4,65.20,South America,34.8
France,2023,Dairy Products,16869.71,"$14,181.75",157.22,874.0,37.10,Europe,62.9
Brazil,2023,Meat & Seafood,21397.48,"$18,490.31",177.98,956.5,45.71,South America,54.29
South Korea,2019,Fruits & Vegetables,39896.88,"$34,365.58",92.78,745.0,69.40,Asia,30.6
South Africa,2018,Grains & Cereals,11229.86,"$9,641.07",175.21,831.4,31.32,Africa,68.68
Spain,2023,Frozen Food,9716.22,"$10,604.28",149.42,963.8,41.60,Europe,58.4
China,2024,Frozen Food,30243.94,"$26,197.12",171.54,863.4,45.77,Asia,54.23
Japan,2021,Grains & Cereals,3818.33,"$4,240.41",59.44,97.1,36.57,Asia,63.43
Germany,2020,Grains & Cereals,35940.67,"$41,777.45",65.48,904.3,60.65,Europe,39.35
Canada,2021,Beverages,4959.43,"$4,817.60",155.89,774.0,43.28,North America,56.72
UK,2020,Dairy Products,20329.78,"$17,755.81",62.50,51.2,67.45,Europe,32.55
Argentina,2021,Grains & Cereals,44554.11,"$53,406.23",169.72,666.8,51.47,South America,48.53
South Korea,2022,Beverages,31835.40,"$33,619.04",186.04,1085.2,40.81,Asia,59.19
Germany,2023,Beverages,35643.89,"$41,185.44",65.93,1062.3,32.18,Europe,67.82
Spain,2019,Fruits & Vegetables,16133.76,"$15,262.81",129.20,515.2,49.90,Europe,50.1
Italy,2021,Grains & Cereals,1709.16,"$1,961.30",194.10,244.0,30.41,Europe,69.59
South Korea,2023,Fruits & Vegetables,41482.57,"$46,333.09",121.92,244.7,61.46,Asia,38.54
Indonesia,2021,Fruits & Vegetables,46273.76,"$53,925.10",65.30,536.6,48.94,Asia,51.06
China,2024,Fruits & Vegetables,31630.65,"$36,217.51",181.08,270.3,56.04,Asia,43.96
Australia,2018,Frozen Food,3623.19,"$3,779.23",164.96,1266.1,45.77,Oceania,54.23
Australia,2018,Frozen Food,46482.10,"$55,692.74",112.90,235.9,35.11,Oceania,64.89
South Korea,2024,Dairy Products,7654.24,"$8,374.50",40.54,850.7,60.90,Asia,39.1
South Korea,2020,Beverages,46944.56,"$50,437.65",151.66,164.4,33.77,Asia,66.23
Argentina,2020,Prepared Food,8933.08,"$8,058.58",118.63,96.7,64.56,South America,35.44
Germany,2021,Meat & Seafood,49843.31,"$53,122.46",182.65,1184.5,34.76,Europe,65.24
Mexico,2021,Beverages,1504.09,"$1,538.77",141.39,286.0,36.20,North America,63.8
UK,2021,Frozen Food,47308.57,"$48,088.55",86.74,839.1,60.22,Europe,39.78
India,2020,Meat & Seafood,27939.53,"$25,519.13",85.87,1253.5,37.58,Asia,62.42
Spain,2018,Prepared Food,13854.47,"$15,117.89",103.59,83.4,67.81,Europe,32.19
China,2018,Grains & Cereals,38417.13,"$34,206.81",41.04,807.7,41.01,Asia,58.99
South Korea,2023,Frozen Food,38328.79,"$41,982.15",32.63,785.9,57.74,Asia,42.26
Indonesia,2024,Dairy Products,42665.84,"$50,088.64",158.69,661.1,47.57,Asia,52.43
Saudi Arabia,2022,Dairy Products,37587.48,"$37,984.64",60.13,361.1,43.27,Asia,56.73
Canada,2018,Prepared Food,44840.34,"$52,923.07",161.21,48.8,45.78,North America,54.22
Italy,2020,Fruits & Vegetables,14928.80,"$16,120.56",34.49,1182.3,48.13,Europe,51.87
Argentina,2019,Prepared Food,48827.14,"$47,821.60",195.50,397.4,64.70,South America,35.3
India,2023,Beverages,41053.02,"$45,487.65",157.25,886.3,57.90,Asia,42.1
Japan,2022,Frozen Food,47284.74,"$54,679.88",86.66,891.2,34.15,Asia,65.85
Brazil,2019,Frozen Food,21011.84,"$17,190.44",179.55,253.7,34.29,South America,65.71
Spain,2024,Fruits & Vegetables,47975.09,"$57,145.29",197.07,1192.3,37.85,Europe,62.15
USA,2021,Prepared Food,9749.60,"$8,533.14",88.77,1321.2,49.88,North America,50.12
China,2022,Frozen Food,19970.98,"$20,997.66",100.95,180.1,57.56,Asia,42.44
Italy,2018,Bakery Items,28264.60,"$26,586.74",131.87,734.6,38.27,Europe,61.73
Canada,2020,Beverages,14149.17,"$13,279.14",39.32,775.4,44.02,North America,55.98
Canada,2020,Fruits & Vegetables,16677.83,"$19,617.08",150.27,225.5,39.84,North America,60.16
Japan,2019,Bakery Items,33127.97,"$33,984.19",116.88,396.5,37.80,Asia,62.2
Italy,2023,Grains & Cereals,49823.95,"$57,142.48",59.49,1028.1,64.88,Europe,35.12
France,2020,Frozen Food,35800.00,"$38,746.59",63.99,1012.2,40.61,Europe,59.39
South Korea,2020,Meat & Seafood,39534.30,"$35,806.77",29.72,1114.2,38.17,Asia,61.83
UK,2021,Beverages,44741.46,"$52,445.59",54.59,960.7,64.43,Europe,35.57
Russia,2018,Meat & Seafood,5566.38,"$6,572.58",177.50,113.2,48.79,Europe,51.21
China,2023,Frozen Food,47358.87,"$41,016.65",172.40,829.6,34.05,Asia,65.95
Australia,2022,Prepared Food,6445.46,"$6,889.42",168.41,300.6,45.14,Oceania,54.86
Indonesia,2022,Prepared Food,10489.55,"$11,668.87",116.66,1379.5,66.13,Asia,33.87
UK,2019,Bakery Items,27231.36,"$25,786.68",164.63,735.5,59.54,Europe,40.46
Russia,2020,Dairy Products,20868.28,"$22,147.11",176.22,932.4,53.02,Europe,46.98
India,2018,Meat & Seafood,48231.23,"$51,550.44",63.65,1354.9,49.11,Asia,50.89
Japan,2020,Beverages,25634.29,"$28,608.02",91.48,976.8,51.63,Asia,48.37
UK,2024,Dairy Products,47696.15,"$42,730.60",29.76,1149.9,35.22,Europe,64.78
China,2019,Meat & Seafood,7525.20,"$7,500.46",56.25,573.7,61.63,Asia,38.37
Spain,2022,Beverages,16295.06,"$15,742.71",194.26,1005.6,32.61,Europe,67.39
South Korea,2019,Dairy Products,48254.61,"$55,699.76",47.58,1112.7,32.38,Asia,67.62
South Africa,2018,Meat & Seafood,9673.67,"$10,064.78",140.33,977.6,40.76,Africa,59.24
Argentina,2024,Fruits & Vegetables,27091.60,"$29,279.15",138.61,1151.0,46.48,South America,53.52
Brazil,2021,Frozen Food,24720.56,"$27,802.44",134.46,607.9,39.20,South America,60.8
China,2021,Meat & Seafood,15173.36,"$16,088.20",145.00,536.6,59.83,Asia,40.17
Saudi Arabia,2023,Frozen Food,16959.33,"$16,228.69",62.90,515.7,58.05,Asia,41.95
Spain,2018,Fruits & Vegetables,22685.51,"$26,055.96",116.34,306.2,31.21,Europe,68.79
Brazil,2024,Frozen Food,31823.40,"$32,839.68",82.47,1080.8,57.03,South America,42.97
Turkey,2020,Fruits & Vegetables,26312.28,"$28,731.45",129.82,1184.9,59.89,Asia,40.11
South Korea,2024,Prepared Food,12463.29,"$14,521.65",110.45,1200.4,64.35,Asia,35.65
USA,2019,Bakery Items,13335.53,"$15,984.75",52.08,318.9,43.42,North America,56.58
France,2023,Grains & Cereals,13851.18,"$11,430.70",119.26,1157.6,52.12,Europe,47.88
USA,2024,Meat & Seafood,13285.19,"$14,486.71",82.34,311.0,40.72,North America,59.28
Argentina,2022,Dairy Products,11936.85,"$13,402.52",137.37,74.3,63.35,South America,36.65
Canada,2024,Fruits & Vegetables,28461.83,"$24,132.13",86.06,1246.6,56.40,North America,43.6
Mexico,2024,Prepared Food,32998.71,"$31,325.02",49.89,868.8,59.66,North America,40.34
China,2018,Fruits & Vegetables,18784.36,"$19,388.71",80.73,123.6,62.07,Asia,37.93
China,2020,Bakery Items,11226.72,"$9,121.44",166.54,42.4,60.61,Asia,39.39
France,2024,Fruits & Vegetables,39609.60,"$33,231.19",64.46,855.6,46.09,Europe,53.91
Brazil,2020,Grains & Cereals,32669.75,"$37,578.41",112.89,240.3,57.24,South America,42.76
Spain,2020,Frozen Food,4595.08,"$3,780.96",28.93,517.1,59.09,Europe,40.91
Indonesia,2020,Prepared Food,26344.41,"$21,515.45",52.90,1322.8,35.15,Asia,64.85
